1 0,109549
11 0,117727
21 0,186819
31 0,295309
41 0,434072
51 0,595083
61 0,786734
71 0,978384
81 1,231314
91 1,514883
101 1,807257
111 2,159765
121 2,542913
131 2,933722
141 3,362829
151 3,876196
161 4,358923
171 4,879950
181 5,423956
191 6,021582
201 6,630682
211 7,281927
221 7,971472
231 8,683996
241 9,411840
251 10,177984
261 10,990088
271 11,809851
281 12,675573
291 13,610235
301 14,537237
311 15,464239
321 16,460180
331 17,471441
341 18,536322
351 19,608862
361 20,712042
371 21,868841
381 23,025640
391 24,213079
401 25,446447
411 26,718145
421 28,005163
431 29,368780
441 30,724737
451 32,118996
461 33,543892
471 34,968788
481 36,447304
491 37,956459
501 39,496254
511 41,051369
521 42,660103
531 44,276497
541 45,946510
551 47,639503
561 49,370796
571 51,171028
581 52,948280
591 54,756172
601 56,594704
611 58,479195
621 60,379005
631 62,317116
641 64,285866
651 66,269936
661 68,307625
671 70,398933
681 72,482582
691 74,589211
701 76,741798
711 78,978645
721 81,169533
731 83,429359
741 85,696846
751 88,002632
761 90,339058
771 92,706123
781 95,119148
791 97,539833
801 100,014076
811 102,503700
821 105,023964
831 107,582527
841 110,156410
851 112,783913
861 115,457375
871 118,138496
881 120,834938
891 123,577339
901 126,342720
911 129,138733
921 131,980713
931 134,822693
941 137,710632
951 140,636871
961 143,586090
971 146,573608
981 149,576447
991 152,632904
1001 155,773651
